date,S&P500,Portfolio
2013-07-31,1685.73,524.4520000000001
2013-08-01,1706.87,531.9139
2013-08-02,1709.67,536.892
2013-08-05,1707.14,539.2199999999999
2013-08-06,1697.37,536.88
2013-08-07,1690.91,536.38
2013-08-08,1697.48,546.61
2013-08-09,1691.42,544.1700000000001
2013-08-12,1689.47,544.37
2013-08-13,1694.16,541.895
2013-08-14,1685.39,539.37
2013-08-15,1661.3199,532.56
2013-08-16,1655.83,530.22
2013-08-19,1646.0601,524.516
2013-08-20,1652.35,532.0
2013-08-21,1642.8,530.44
2013-08-22,1656.96,535.8499999999999
2013-08-23,1663.5,536.66
2013-08-26,1656.78,538.495
2013-08-27,1630.48,527.228
2013-08-28,1634.96,525.7349999999999
2013-08-29,1638.17,529.5
2013-08-30,1632.97,525.9399999999999
2013-09-03,1639.77,532.2752
2013-09-04,1653.08,538.47
2013-09-05,1655.08,540.38
2013-09-06,1655.17,544.12
2013-09-09,1671.71,552.8199999999999
2013-09-10,1683.99,552.0050000000002
2013-09-11,1689.13,551.37
2013-09-12,1683.42,549.8249999999999
2013-09-13,1687.99,551.044
2013-09-16,1697.6,551.0210000000001
2013-09-17,1704.76,556.2
2013-09-18,1725.52,561.8715000000001
2013-09-19,1722.34,563.42
2013-09-20,1709.91,566.43
2013-09-23,1701.84,576.088
2013-09-24,1697.42,577.025
2013-09-25,1692.77,574.0400000000001
2013-09-26,1698.67,575.4154
2013-09-27,1691.75,574.4565
2013-09-30,1681.55,570.8157000000001
2013-10-01,1695.0,578.2324
2013-10-02,1693.87,577.1754999999999
2013-10-03,1678.66,574.2861
2013-10-04,1690.5,579.9900000000001
2013-10-07,1676.12,572.2949000000001
2013-10-08,1655.45,557.6601
2013-10-09,1656.4,541.89
2013-10-10,1692.5601,557.9053
2013-10-11,1703.2,560.1189999999999
2013-10-14,1710.14,562.2040000000001
2013-10-15,1698.0601,556.9200000000001
2013-10-16,1721.54,564.4894
2013-10-17,1733.15,569.18
2013-10-18,1744.5,568.4499999999999
2013-10-21,1744.66,567.9899999999999
2013-10-22,1754.67,567.871
2013-10-23,1746.38,567.2233
2013-10-24,1752.0699,572.6500000000001
2013-10-25,1759.77,572.1100999999999
2013-10-28,1762.11,571.8600000000001
2013-10-29,1771.95,573.75
2013-10-30,1763.3101,565.398
2013-10-31,1756.54,535.6198999999999
2013-11-01,1761.64,524.645
2013-11-04,1767.9301,530.0601
2013-11-05,1762.97,536.4822
2013-11-06,1770.49,526.2418999999999
2013-11-07,1747.15,515.5201
2013-11-08,1770.61,525.1299
2013-11-11,1771.89,528.754
2013-11-12,1767.6899,506.888
2013-11-13,1782.0,506.1500000000001
2013-11-14,1790.62,504.7172999999999
2013-11-15,1798.1801,510.27500000000003
2013-11-18,1791.53,506.64790000000005
2013-11-19,1787.87,507.13
2013-11-20,1781.37,505.8288
2013-11-21,1795.85,518.258
2013-11-22,1804.76,527.3681
2013-11-25,1802.48,527.5325
2013-11-26,1802.75,534.57
2013-11-27,1807.23,538.79
2013-11-29,1805.8101,540.9669999999999
2013-12-02,1800.9,534.34
2013-12-03,1795.15,525.63
2013-12-04,1792.8101,526.05
2013-12-05,1785.03,526.4005
2013-12-06,1805.09,528.066
2013-12-09,1808.37,526.7301000000001
2013-12-10,1802.62,521.375
2013-12-11,1782.22,510.6400000000001
2013-12-12,1775.5,514.4599999999999
2013-12-13,1775.3199,514.6602
2013-12-16,1786.54,521.0
2013-12-17,1781.0,521.53
2013-12-18,1810.65,526.8385000000001
2013-12-19,1809.6,518.92
2013-12-20,1818.3199,531.6599999999999
2013-12-23,1827.99,534.4752
2013-12-24,1833.3199,537.0880000000002
2013-12-26,1842.02,539.1450000000001
2013-12-27,1841.4,536.1057
2013-12-30,1841.0699,532.5350000000001
2013-12-31,1848.36,533.8539999999999
2014-01-02,1831.98,530.11
2014-01-03,1831.37,530.4390000000001
2014-01-06,1826.77,526.1250000000001
2014-01-07,1837.88,531.1750000000001
2014-01-08,1837.49,533.3075
2014-01-09,1838.13,534.705
2014-01-10,1842.37,539.51
2014-01-13,1819.2,559.9727999999999
2014-01-14,1838.88,560.8864
2014-01-15,1848.38,556.779
2014-01-16,1845.89,567.971
2014-01-17,1838.7,563.645
2014-01-21,1843.8,565.92
2014-01-22,1844.86,566.9401
2014-01-23,1828.46,561.5403000000001
2014-01-24,1790.29,547.9827
2014-01-27,1781.5601,537.13
2014-01-28,1792.5,545.895
2014-01-29,1774.2,539.0757
2014-01-30,1794.1899,547.4467999999999
2014-01-31,1782.59,544.1331999999999
2014-02-03,1741.89,526.0492999999999
2014-02-04,1755.2,529.8100000000001
2014-02-05,1751.64,528.6700000000001
2014-02-06,1773.4301,530.2388
2014-02-07,1797.02,541.142
2014-02-10,1799.84,547.6392999999999
2014-02-11,1819.75,551.5
2014-02-12,1819.26,553.4671999999999
2014-02-13,1829.83,558.5787
2014-02-14,1838.63,557.9680999999999
2014-02-18,1840.76,571.5200000000001
2014-02-19,1828.75,564.15
2014-02-20,1839.78,575.86
2014-02-21,1836.25,581.8599000000002
2014-02-24,1847.61,584.9949999999999
2014-02-25,1845.12,579.4870000000001
2014-02-26,1845.16,581.9000000000001
2014-02-27,1854.29,584.25
2014-02-28,1859.45,575.0799999999999
2014-03-03,1845.73,570.4
2014-03-04,1873.91,582.3999999999999
2014-03-05,1873.8101,586.77
2014-03-06,1877.03,581.4300000000001
2014-03-07,1878.04,578.55
2014-03-10,1877.17,575.4445
2014-03-11,1867.63,567.63
2014-03-12,1868.2,572.5600000000001
2014-03-13,1846.34,564.8799999999999
2014-03-14,1841.13,564.0699999999999
2014-03-17,1858.83,566.449
2014-03-18,1872.25,575.6301
2014-03-19,1860.77,570.71
2014-03-20,1872.01,569.3
2014-03-21,1866.52,561.19
2014-03-24,1857.4399,547.8996999999998
2014-03-25,1865.62,547.4128999999999
2014-03-26,1852.5601,533.7613999999999
2014-03-27,1849.04,535.775
2014-03-28,1857.62,531.0627
2014-03-31,1872.34,544.7262999999999
2014-04-01,1885.52,552.6148999999999
2014-04-02,1890.9,554.3079
2014-04-03,1888.77,544.235
2014-04-04,1865.09,535.5600000000001
2014-04-07,1845.04,534.27
2014-04-08,1851.96,532.68
2014-04-09,1872.1801,542.6118
2014-04-10,1833.08,518.5844999999999
2014-04-11,1815.6899,508.7899999999999
2014-04-14,1830.61,510.2298
2014-04-15,1842.98,513.0460999999999
2014-04-16,1862.3101,519.564
2014-04-17,1864.85,520.14
2014-04-21,1871.89,532.29
2014-04-22,1879.55,546.0095
2014-04-23,1875.39,537.1501000000001
2014-04-24,1878.61,533.7438000000001
2014-04-25,1863.4,522.9699999999999
2014-04-28,1869.4301,521.96
2014-04-29,1878.33,528.6800000000001
2014-04-30,1883.95,530.3039999999999
2014-05-01,1883.6801,531.53
2014-05-02,1881.14,531.405
2014-05-05,1884.66,531.8901
2014-05-06,1867.72,523.77
2014-05-07,1878.21,516.64
2014-05-08,1875.63,508.1901
2014-05-09,1878.48,514.84
2014-05-12,1896.65,526.1577
2014-05-13,1897.45,524.04
2014-05-14,1888.53,518.9798999999999
2014-05-15,1870.85,517.86
2014-05-16,1877.86,517.2099999999999
2014-05-19,1885.08,523.3213999999999
2014-05-20,1872.83,515.8329000000001
2014-05-21,1888.03,514.9211
2014-05-22,1892.49,522.074
2014-05-23,1900.53,529.0971
2014-05-27,1911.91,537.96
2014-05-28,1909.78,533.725
2014-05-29,1920.03,534.7968999999999
2014-05-30,1923.5699,530.2507
2014-06-02,1924.97,525.8199999999999
2014-06-03,1924.24,523.0261999999999
2014-06-04,1927.88,525.1398999999999
2014-06-05,1940.46,535.8801000000001
2014-06-06,1949.4399,541.931
2014-06-09,1951.27,549.4164999999999
2014-06-10,1950.79,546.64
2014-06-11,1943.89,547.388
2014-06-12,1930.11,544.86
2014-06-13,1936.16,547.92
2014-06-16,1937.78,555.664
2014-06-17,1941.99,559.6699
2014-06-18,1956.98,564.1641
2014-06-19,1959.48,565.33
2014-06-20,1962.87,565.1600000000001
2014-06-23,1962.61,562.11
2014-06-24,1949.98,557.105
2014-06-25,1959.53,561.8409999999999
2014-06-26,1957.22,557.9839999999999
2014-06-27,1960.96,560.56
2014-06-30,1960.23,562.7492
2014-07-01,1973.3199,570.98
2014-07-02,1974.62,567.98
2014-07-03,1985.4399,570.005
