Dow,Nasdaq,S&P_500
18339.2402,5318.5498,2171.3701
18143.4492,5269.1499,2151.1299
18308.1504,5312.0,2168.27
18253.8496,5300.8701,2161.2
18168.4492,5289.6602,2150.49
18281.0293,5316.02,2159.73
18268.5,5306.8501,2160.77
18240.4902,5292.3999,2153.74
18329.0391,5328.6699,2163.6599
18128.6602,5246.79,2136.73
18144.1992,5239.02,2139.1799
18098.9395,5213.3301,2132.55
18138.3809,5214.1602,2132.98
18086.4004,5199.8198,2126.5
18161.9395,5243.8398,2139.6001
18202.6191,5246.4102,2144.29
18162.3496,5241.8301,2141.3401
18145.7109,5257.3999,2141.1599
18223.0293,5309.8301,2151.3301
18169.2695,5283.3999,2143.1599
18199.3301,5250.27,2139.4299
18169.6797,5215.9702,2133.04
18161.1895,5190.1001,2126.4099
18142.4199,5189.1401,2126.1499
18037.0996,5153.5801,2111.72
17959.6406,5105.5698,2097.9399
17930.6699,5058.4102,2088.6599
17888.2793,5046.3701,2085.1799
18259.5996,5166.1699,2131.52
18332.7402,5193.4902,2139.5601
18589.6895,5251.0698,2163.26
18807.8809,5208.7998,2167.48
18847.6602,5237.1099,2164.45
18868.6895,5218.3999,2164.2
18923.0605,5275.6201,2180.3899
18868.1406,5294.5801,2176.9399
18903.8203,5333.9702,2187.1201
18867.9297,5321.5098,2181.8999
18956.6895,5368.8599,2198.1799
19023.8691,5386.3501,2202.9399
19083.1797,5380.6802,2204.72
19152.1406,5398.9199,2213.3501
19097.9004,5368.8101,2201.72
19121.5996,5379.9199,2204.6599
19123.5801,5323.6802,2198.8101
19191.9297,5251.1099,2191.0801
19170.4199,5255.6499,2191.95
19216.2402,5308.8901,2204.71
19251.7793,5333.0,2212.23
19549.6191,5393.7598,2241.3501
19614.8105,5417.3599,2246.1899
19756.8496,5444.5,2259.53
19796.4297,5412.54,2256.96
19911.2109,5463.8301,2271.72
19792.5293,5436.6699,2253.28
19852.2402,5456.8501,2262.03
19843.4102,5437.1602,2258.0701
19883.0605,5457.4399,2262.53
19974.6191,5483.9399,2270.76
19941.9609,5471.4302,2265.1799
19918.8809,5447.4199,2260.96
19933.8105,5462.6899,2263.79
19945.0391,5487.4399,2268.8799
19833.6797,5438.5601,2249.9199
19819.7793,5432.0898,2249.26
19762.5996,5383.1201,2238.8301
19881.7598,5429.0801,2257.8301
19942.1602,5477.0,2270.75
19899.2891,5487.9399,2269.0
19963.8008,5521.0601,2276.98
19887.3809,5531.8198,2268.8999
19855.5293,5551.8198,2268.8999
19954.2793,5563.6499,2275.3201
19891.0,5547.4902,2270.4399
19885.7305,5574.1201,2274.6399
19826.7695,5538.73,2267.8899
19804.7207,5555.6499,2271.8899
19732.4004,5540.0801,2263.6899
19827.25,5555.3301,2271.3101
19799.8496,5552.9399,2265.2
19912.7109,5600.96,2280.0701
20068.5098,5656.3398,2298.3701
20100.9102,5655.1802,2296.6799
20093.7793,5660.7798,2294.6899
19971.1309,5613.71,2280.8999
19864.0898,5614.79,2278.8701
19890.9395,5642.6499,2279.55
19884.9102,5636.2002,2280.8501
20071.4609,5666.77,2297.4199
20052.4199,5663.5498,2292.5601
20090.2891,5674.2202,2293.0801
20054.3398,5682.4502,2294.6699
20172.4004,5715.1802,2307.8701
20269.3691,5734.1299,2316.1001
20412.1602,5763.96,2328.25
20504.4102,5782.5698,2337.5801
20611.8594,5819.4399,2349.25
